seconds, weight, velocity
29.000000,1649420.000000,174661707892874624461333325962377952846606092787363006104464732378046412282486087826427756798403194206798935699807880778549026438986072212970564588537748709857105849466453162459136.000000
30.000000,1606400.000000,280576567559113798540585843265959317084000668746834539011379526955429508550293744375346048103135494222827294035762000869496608967167581872532698615830895377079984898303634052936273756160.000000
31.000000,1563380.000000,438647794190567343906135912249494503420732586262942328113238717723994142246471327199808778730030671798241814156800011711052658861493771838103259164475485827627298100059503274581668053055963136.000000
32.000000,1520360.000000,666902560375570960512710699037597508117784982724734822869054849088822533306950603546203862507865771344576900272785559913867703528917619455295995415678857508658603046872858453746684593410121557606400.000000
33.000000,1477340.000000,985241828545245958233403356897193216105934113528154880854563016688997246074335547556084088513954469181375860262281512178305229293036023223278780748272075356791831607068971069691525925076487006866773114880.000000
34.000000,1434320.000000,1413152059519017202197024465135641840422736338222653703383088916707577352240099799602670474115998230870970951270520886845422076596699214967456199211400512316572217597615515047561104573063062962180892370940198912.000000
35.000000,1391300.000000,1966118460408808511633281208876069421917066735680736276341301211404283578714052014368859908201908662143961529830117345165449793506384952447674004807397745470383952779454733866623065731716436410580547228733864822177792.000000
36.000000,1348280.000000,2650878197799988305586579647897050808943371613318883570037982311219474828347803404695583698894588782361230141042437622385421921103366546688909978344487081333278602793058660984443043838692635116297000550258405278855775387648.000000
37.000000,1305260.000000,3460085276460412765017150180776465923164178999295071859226469200316778066491690830249384775213309141557607428156388264652740606835156972070940286034532846951163827378336782155518860668718426546855834911419669552456235966235934720.000000
38.000000,1262240.000000,4367458039359391063119070184074073901853808404269512060646029218785052566585480854113497640627732438329719356517699712380722067159630775014053799266783632082368043252271863302512673698544196156114448324562270335452645008333075407437824.000000
39.000000,1219220.000000,5324892190747756517244325646428157722814684498111631964562026187291115908740128999275549707165316854950721012241773656559894695046151974172757049246085319649654424006335388483418832982815095329565299483285967630652212507350019890206323245056.000000
40.000000,1176200.000000,6263138194757511363091656917147637033785020544738712703635198449193693823640112229233435770278192318105982576293330702223059497710148424777869736216005570548915046423091812390943752685225542088687841960409833549959179412752057838748342716798599168.000000
41.000000,1133180.000000,7097262939535316538508308857110948405641734338408780168101336894818118761579365589173485331099410895769152974367049501062190662573046628968366035985507828865420131960184532513584002460328165516444078049277276223603258978536548091167275030942233330188288.000000
42.000000,1090160.000000,7737152166163820031968882974973431881506243932927925648900051501259875505754460260978698600490928356845522481520014875735197523530854527986577295124684567793868325803118616907951056118270912000723923973145248084714013105008758384558517085415709608779586732032.000000
43.000000,1047140.000000,8101881519276781724422953905115103270865312811564242037061982630040270550037804972196730527550294280712191697976821889427801269225383418809533882739423230654383177355114023044233602053761740920307055425383608737170325878098017729408982608453043633258790764679266304.000000
44.000000,1004120.000000,8135261271136202208937832501826195184330201423296088195413891251530968141294200408837188960203409729301070868610857782830772585997799092848612998627953615465963934313533629383581242831740852864431463028252881130081936022051490322654532891736102949152341132084905555001344.000000
45.000000,961100.000000,7818799607689004418558789304481282858722798494572727730683078816052616004386037122010793380641491167344063420495826072168612769619282826823691127856909214754094155478028683752956354943261675644239128683481981906706227150017393397597018228355026246615893499506220563873956626432.000000
46.000000,918080.000000,7178283543827120775737929161644048789349536535993394383845247163792871594690961553516959735515543214480807417084686106739609941618013441124026557933184302611190277898116736747577024105399702128737773015138819258787769468959495273353105172955631962756604904625651500672991137082900480.000000
47.000000,875060.000000,6281428797861360316814251772273399805934149795417687835256564209011823826140469807753198669663295560771978005598119202160971023186951409164648658032348391510506054949862359261399903567900729752471726047139340569616008311569262096910143540879665348367304424460273910167162569162860414369792.000000
48.000000,832040.000000,5226400016972566514314133709602261320594742552312431562747529373879540733298253577254415502866129294990569205930190924671154945214411121962062261259832466638553949942879608541838253972947243905877906596508068901964890903076770208614433069546417555147894527889914591727661193339553641312741752832.000000
49.000000,789020.000000,4123734141391694314528906366221273955231633724175496489149833332770995542741643855993103308431206378643000222389451854151556005618228299359534506511480137002353833066524175859849341086940075654897518260626492101789032625753483949802294613328273372572568525447036860973221945662227618364902120173338624.000000
0.000000,2897000.000000,0.000000
1.000000,2872560.000000,-25.571675
2.000000,2848120.000000,-71804720.000000
3.000000,2823680.000000,-202753550743120.000000
4.000000,2799240.000000,-567555849382170198016.000000
5.000000,2774800.000000,-1574853970865645972933836800.000000
6.000000,2750360.000000,-4331415367310038126028543559204864.000000
7.000000,2725920.000000,-11807091778057778616053177091256378982400.000000
8.000000,2701480.000000,-31896622296587525680075621282590652023904927744.000000
9.000000,2677040.000000,-85388533752856670788131939165067058704613695807291392.000000
10.000000,2652600.000000,-226501624632827618461800337647119014144303462726235523645440.000000
11.000000,2628160.000000,-595282509795012238235249902799837853309209964303391823702416949248.000000
12.000000,2603720.000000,-1549948976403469207180462602858180621449812009260048527767098716877488128.000000
13.000000,2579280.000000,-3997752395857940343136268522332758069029731973768095699489857197972822488514560.000000
14.000000,2554840.000000,-10213617731033700552340179809868344817271251748948334936042849997439487210614320791552.000000
15.000000,2530400.000000,-25844538306607675226337591736958936232980134214180528825256576147745840000161391379451215872.000000
16.000000,2505960.000000,-64765379214826567590777028955200769109957934727594536214350855980706064121511063265576634835533824.000000
17.000000,2481520.000000,-160716583829176416835895713212810406927886853300317999977865337635064875937355431785585154452920096260096.000000
18.000000,2457080.000000,-394893503794992775309729137429919378949915532519778762628766439393024425537149674694885292329830707641788137472.000000
19.000000,2432640.000000,-960633733071851192522264179885471307911453195024469926369009377929911112902176510771048077989360947689338711738155008.000000
20.000000,2408200.000000,-2313398155983631914572060092199534564049048644639493038088072876555260018608540745577147652828414278629387195408380178989056.000000
21.000000,2383760.000000,-5514585988307542488261091364209063452336824763020282139477040389184916701060333133526532335144589748374349186945306736440683528192.000000
22.000000,2359320.000000,-13010673013933752087983527372796028430431210840619347854761925494471102461036609411898975581834526321242347668818023132021425444860461056.000000
23.000000,2334880.000000,-30378360206773636614905926547086267712354427896579685437761395776217059841583504771134926572772047492044388770959464468971592488565109541568512.000000
24.000000,2310440.000000,-70187378556138076558265055700662208542304278846036768490302887020683747745434377913441304174625969359839858656159089565075059878855490414437254299648.000000
25.000000,2286000.000000,-160448347379331654435009598680397798878243215257947313537071613951001853214892585683258713511328379470180922142809434207315185816741336946349978873896108032.000000
26.000000,2261560.000000,-362863564499201291092456791319343361422633316295241774562465693463861200100720415318767590100932849907921402224836679219835223892090615471179053997712573298900992.000000
27.000000,2237120.000000,-811769337412453143883215274236534459719580882614605466362298283624132069708307363040472440509525772912612399611752509138848383541078370822837676145678053030005907128320.000000
28.000000,2212680.000000,-1796185777505786910976140006216005858843437859241953279907350935587647102899593542917435301324950429217260349488954859384774988509053519979461180639034968802087547506631114752.000000
29.000000,2188240.000000,-3930485565769263003831612073332335241820497095640164045341369659488635341717570742140103267068756942672061484501108406270523419574162677461067435455150300865647008357912237978943488.000000
30.000000,2163800.000000,-8504784667211531492126091916044962864258059396229073073772175294689742123139107965031009636678392703430222114386869302618286273474251401285447491663956025044515471222908752043947254087680.000000
31.000000,2139360.000000,-18194796125645662531584895290241883544637782897861875477266897166413372048370594878850997518444978703371393907796047293188374484519214637639009581448881561238687019225336567601884247007803998208.000000
32.000000,2114920.000000,-38480538222050522138351319028886805545436814493813827781294616534073607416289408876003754635069107729298734729790569316710813712062878923483303476975431692049210106290741515563282055724494946677293056.000000
33.000000,2090480.000000,-80442795542432177082907030951425258289714293729985841684177405207979696041411995531579195974570758253473923244448011565882865182908989704103990925355414184203504212029245502128978649969004390303066706935808.000000
34.000000,2066040.000000,-166198033302486570805908079216496489327185757389945055600707890978910919661335347477568120854083381033061783853102872169623358115408427317884280904092090840354334192818557579185777234506136369683327366744875466752.000000
35.000000,2041600.000000,-339309904790356602375864745034407974379254297061975062580556407626991737336865175050480777565850387503131683964546473339424690207986200598215975296751635062683430245177882399722747963107742095175468601434578270273142784.000000
36.000000,2017160.000000,-684442367546915701317994296175419552076795397783615557186529114677492392184901740240340750069381887220665637108474879690161651941108858230873317613070140641217723692252740697011205014888474429125888371701467226355405292568576.000000
37.000000,1992720.000000,-1363901994658089869009951184557036389018877837753916541425834392105393228075303512658910677411371996007358014075927023938821373483904037771059218912985189870636979860682240230565235116523676468348745764437107681285395617916353773568.000000
38.000000,1968280.000000,-2684541018045625248101503452316221578352479874742120008428021048948142563171490942276441956076491143277472754491448013184187083052539493178791380418351702529612499253000585850933473886037336073601490412289346117111045604552576978573590528.000000
39.000000,1943840.000000,-5218318212517807940631629527739902410715528788589169393264252372485911846349124042118661751758417972162422004608563713934407163099358956255047566332903265519478989848208180947440626760635958101419205882074448417049637970908833956093019543306240.000000
40.000000,1919400.000000,-10016039977106680082199485860006467885220402548107107026978514347178761123288764203029212278034939467296883771456448339928330705619402804456620131457197112178060080809756327244742900465931158998510291572353601160289860932651278006377567654091379703808.000000
41.000000,1894960.000000,-18979995115018073891647414817290108238361444484760457878171774769637387761122678268733615111956363374175063081776531768348447632319828459812637649926479588368142432635371188423537885060264339981365393815439628028661378467675441177213950872047473459212582912.000000
42.000000,1870520.000000,-35502460462543604345738114903841524646450683490768199639791199712408422761063153042990795293501829788821923707133281115966974414820702659774848790065208722325403751071432471080948611355382832927726917804542477673164280254939165591647460746852192487951044421091328.000000
43.000000,1846080.000000,-65540382210692495002935883911417085681624797659754712814472745763148981502161776540149580731487567459731362979233363098309885746126442116932008883022711701562105221531556774765998268848099999560020703083641182868591701387233093008996780156053051463963853346271186124800.000000
44.000000,1821640.000000,-119390981850285881909947981927445003797148709041134291883235005586573178287198015449956907037555663462222877538779701121927654737525377560920737968265769863514959686878473593353158901895754026618274961700508191496335819397629430452701054298836365850690957485639334087620558848.000000
45.000000,1797200.000000,-214569472581333776434076244367726714239508850506719034151609747927028208230107092684835142605710143575286939123142328453976287188484887081596236099751493348530753976816609215141065346490628871335639998616861914311487957382918604814296050329638306900017088665815682310693841478352896.000000
46.000000,1772760.000000,-380380178213285247011677985911928471944802014964474363348987172317886553312224274356022255726948703349472977305789993870506104762768116696829900159907080400563033043257733100689598328999879280798212561563946756824850047948661541929243811376231420534539883950878992982908471417376706920448.000000
47.000000,1748320.000000,-665026273173850895749737338853769170505743673806437793661111617337504697684071755935850340448799930808533023153543365068685970550830290512421613524219553210288501401431845395113742367940873121430303979981007986768128116831230962556259943915643903643346621402258608300835214511766994558610571264.000000
48.000000,1723880.000000,-1146425491798938138577127483510734540652890728441401282417228663584536510970363172689033739705458912771491610290721089903207248097884705944274041249599629674613979423109398222211925622452375042672147549064088658562920052200769977839359489331652407973657024970852109685952930399125889327232464183099392.000000
